latitude,longitude
34.103722,-118.272612
34.103718,-118.272587
34.103713,-118.272606
34.103729,-118.272636
34.103721,-118.272636
34.103719,-118.272617
34.103719,-118.272593
34.103721,-118.272583
34.103716,-118.272573
34.103714,-118.272559
34.103719,-118.272564
34.103719,-118.272564
34.103719,-118.272564
34.103719,-118.272564
34.103719,-118.272564
34.103721,-118.272554
34.103719,-118.27254
34.103719,-118.27254
34.103719,-118.27254
34.103727,-118.27254
34.10372,-118.272544
34.103723,-118.272539
34.103723,-118.272539
34.103718,-118.272534
34.103726,-118.272534
34.103728,-118.272549
34.103728,-118.272549
34.103728,-118.272549
34.103725,-118.272558
34.10373,-118.272563
34.103732,-118.272578
34.103736,-118.272583
34.103736,-118.272583
34.103738,-118.272598
34.103738,-118.272598
34.103738,-118.272598
34.103743,-118.272603
34.103743,-118.272603
34.103743,-118.272603
34.103747,-118.272608
34.103747,-118.272608
34.103747,-118.272608
34.10374,-118.272608
34.103744,-118.272613
34.103744,-118.272613
34.103744,-118.272613
34.103744,-118.272613
34.103744,-118.272613
34.103744,-118.272613
34.103751,-118.272609
34.103751,-118.272609
34.103751,-118.272609
34.103751,-118.272609
34.103751,-118.272609
34.103751,-118.272609
34.103754,-118.272599
34.103754,-118.272599
34.103754,-118.272599
34.103754,-118.272599
34.103756,-118.27259
34.10376,-118.272595
34.10376,-118.272595
34.10376,-118.272595
34.103756,-118.27259
34.103756,-118.27259
34.103756,-118.27259
34.103756,-118.27259
34.103758,-118.27258
34.103756,-118.27259
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103758,-118.27258
34.103754,-118.272575
34.103758,-118.27258
34.103758,-118.27258
34.103754,-118.272575
34.103754,-118.272575
34.103754,-118.272575
34.103749,-118.27257
34.103747,-118.272579
34.103747,-118.272579
34.103747,-118.272579
34.103743,-118.272574
34.103743,-118.272574
34.103743,-118.272574
34.103743,-118.272574
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103753,-118.272565
34.10375,-118.272574
34.103748,-118.27256
34.103748,-118.27256
34.103741,-118.27256
34.103738,-118.272569
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103745,-118.272565
34.103743,-118.272574
34.103745,-118.272589
34.103754,-118.272604
34.103756,-118.272618
34.103753,-118.272623
34.103753,-118.272623
34.103753,-118.272623
34.103753,-118.272623
34.103753,-118.272623
34.103753,-118.272623
34.103751,-118.272633
34.103751,-118.272633
34.103751,-118.272633
34.103751,-118.272633
34.103743,-118.272633
34.103743,-118.272633
34.103743,-118.272633
34.103741,-118.272642
34.103745,-118.272648
34.103743,-118.272657
34.103743,-118.272657
34.103741,-118.272667
34.103738,-118.272676
34.103738,-118.2727
34.103728,-118.27271
34.103718,-118.27272
34.103699,-118.272714
34.103691,-118.272714
34.103686,-118.272729
34.103691,-118.27271
34.103683,-118.272681
34.103676,-118.272657
34.103679,-118.272599
34.103684,-118.272556
34.10368,-118.272498
34.103677,-118.272455
34.103671,-118.27241
34.103664,-118.272362
34.103665,-118.272314
34.103656,-118.272275
34.103635,-118.272231
34.103601,-118.272206
34.103558,-118.27219
34.103515,-118.272175
34.103462,-118.272169
34.103416,-118.272163
34.103361,-118.272167
34.10332,-118.272166
34.103276,-118.272175
34.103235,-118.272174
34.103185,-118.272139
34.103135,-118.272128
34.103088,-118.272108
34.103037,-118.272116
34.102993,-118.272125
34.102947,-118.272144
34.102892,-118.272147
34.102848,-118.272156
34.102795,-118.272174
34.102749,-118.272169
34.102694,-118.272172
34.102636,-118.272161
34.102584,-118.27216
34.102533,-118.272169
34.102475,-118.272182
34.102431,-118.272191
34.10238,-118.2722
34.102332,-118.272203
34.102279,-118.272222
34.102238,-118.272221
34.102192,-118.272239
34.102134,-118.272252
34.102082,-118.272286
34.102025,-118.272299
34.101966,-118.272308
34.101911,-118.272311
34.101857,-118.27233
34.101802,-118.272333
34.101746,-118.272337
34.101703,-118.272346
34.10164,-118.27235
34.101584,-118.272353
34.101529,-118.272357
34.101478,-118.272366
34.101424,-118.272384
34.101369,-118.272388
34.101325,-118.272397
34.101274,-118.272405
34.101226,-118.272409
34.101173,-118.272403
34.101122,-118.272412
34.101067,-118.272416
34.101011,-118.272419
34.100958,-118.272414
34.100903,-118.272417
34.100849,-118.272436
34.100789,-118.27243
34.100733,-118.272433
34.100676,-118.272447
34.100613,-118.27245
34.100562,-118.272459
34.100506,-118.272463
34.100455,-118.272472
34.1004,-118.272475
34.100344,-118.272479
34.100281,-118.272483
34.10023,-118.272492
34.100175,-118.272495
34.100117,-118.272509
34.100066,-118.272517
34.100003,-118.272521
34.099947,-118.272525
34.099894,-118.272543
34.099839,-118.272547
34.099788,-118.272556
34.099734,-118.272574
34.099683,-118.272583
34.099635,-118.272587
34.099584,-118.272595
34.099526,-118.272609
34.099475,-118.272617
34.099422,-118.272636
34.099371,-118.272669
34.099322,-118.272692
34.099268,-118.272711
34.099215,-118.272729
34.099157,-118.272742
34.099106,-118.272751
34.099058,-118.272755
34.099009,-118.272778
34.098963,-118.272797
34.098914,-118.27282
34.098873,-118.272844
34.098827,-118.272862
34.098785,-118.272885
34.098751,-118.272909
34.09871,-118.272932
34.098666,-118.272966
34.098632,-118.272989
34.0986,-118.273003
34.098554,-118.273021
34.098522,-118.273035
34.098476,-118.273054
34.098433,-118.273087
34.098389,-118.27312
34.098347,-118.273143
34.098299,-118.273171
34.098248,-118.273204
34.098211,-118.273237
34.098167,-118.27327
34.098123,-118.273303
34.098075,-118.273331
34.098037,-118.27335
34.097997,-118.273388
34.097956,-118.273416
34.097912,-118.273449
34.097868,-118.273482
34.097825,-118.273515
34.097786,-118.273557
34.097742,-118.27359
34.097703,-118.273633
34.097661,-118.273681
34.097627,-118.273728
34.097583,-118.273761
34.097549,-118.273809
34.097517,-118.273847
34.097482,-118.273895
34.09745,-118.273933
34.097406,-118.273966
34.097372,-118.274014
34.09734,-118.274052
34.097294,-118.274095
34.097257,-118.274128
34.097223,-118.274176
34.097174,-118.274223
34.097139,-118.274271
34.097097,-118.274319
34.097068,-118.274372
34.097033,-118.274419
34.096991,-118.274467
34.096955,-118.2745
34.096921,-118.274548
34.096886,-118.274595
34.096844,-118.274643
34.096805,-118.274681
34.096773,-118.27472
34.096751,-118.274748
34.096729,-118.274777
34.096709,-118.274796
34.096689,-118.274815
34.096675,-118.274844
34.096655,-118.274863
34.096625,-118.274891
34.096603,-118.27492
34.096576,-118.274939
34.09655,-118.274963
34.096518,-118.274976
34.096496,-118.275005
34.096471,-118.275043
34.096437,-118.275067
34.096401,-118.2751
34.096367,-118.275123
34.09633,-118.275156
34.096298,-118.275195
34.096262,-118.275228
34.09623,-118.275266
34.0962,-118.275294
34.096168,-118.275333
34.096142,-118.275356
34.09611,-118.275394
34.096086,-118.275408
34.096056,-118.275437
34.096027,-118.27547
34.095998,-118.275498
34.095961,-118.275532
34.095932,-118.27556
34.0959,-118.275598
34.095868,-118.275636
34.095836,-118.275675
34.095796,-118.275713
34.095764,-118.275751
34.095732,-118.275789
34.095705,-118.275832
34.095682,-118.275885
34.095662,-118.275929
34.095635,-118.275972
34.095603,-118.27601
34.095578,-118.276048
34.095537,-118.276072
34.095503,-118.276095
34.095459,-118.276128
34.095425,-118.276152
34.095393,-118.27619
34.095361,-118.276228
34.095329,-118.276266
34.095295,-118.276314
34.095261,-118.276338
34.095229,-118.276376
